V-Dem Interpretationsrahmen – EDI 3-stufig, Rest binär (48 Kombinationen);;;;;;
H = Hoch (>0.6)   |   M = Mittel (0.4–0.6)   |   N = Niedrig (<0.4);;;;;;
EDI NIEDRIG – Basis fehlt  (EDI < 0.4);;;;;;
EDI;Liberal;Participatory;Egalitarian;Deliberative;Regimetyp;Interpretation
N;N;N;N;N;Geschlossenes Autoritäres Regime;Keine Wahlen, keine Freiheiten, kein Diskurs, keine Gleichheit. Vollständige Unterdrückung.
N;N;N;N;H;Deliberativer Autoritarismus;Öffentlicher Diskurs ohne echte Wahlen oder Freiheiten. Theoretischer Grenzfall.
N;N;N;H;N;Egalitärer Autoritarismus;Soziale Gleichheit von oben durchgesetzt, ohne politische Freiheit. Frühe sozialistische Staaten.
N;N;N;H;H;Egalitärer Diskursautoritarismus;Gleichheit und Begründungspflicht existieren, aber politische Grundfreiheiten fehlen.
N;N;H;N;N;Mobilisierungsautoritarismus;Massenpartizipation zur Legitimation, ohne echte Wahlen oder Freiheiten. Einparteienstaat.
N;N;H;N;H;Deliberativer Mobilisierungsstaat;Öffentlicher Diskurs und Partizipation, aber ohne Freiheitsrechte oder faire Wahlen.
N;N;H;H;N;Populistischer Egalitarismus;Mobilisierung breiter Massen mit Gleichheitsversprechen, ohne Rechtsstaat oder freie Wahlen.
N;N;H;H;H;Partizipativ-egalitärer Diskursstaat ohne Wahlen;Alles außer fairen Wahlen vorhanden. Erinnert an deliberative Rätesysteme.
N;H;N;N;N;Liberaler Autoritarismus;Rechtsstaatlichkeit existiert, aber ohne demokratische Legitimation. Technokratische oder monarchische Systeme.
N;H;N;N;H;Technokratischer Diskursstaat;Rationale Entscheidungsfindung und Rechtsstaat, aber ohne Wahlen oder breite Beteiligung.
N;H;N;H;N;Elitärer Liberalismus;Freiheiten und Gleichheit für Privilegierte, aber keine demokratische Öffnung.
N;H;N;H;H;Deliberativer Liberalismus ohne Partizipation;Freiheit, Gleichheit und Diskurs, aber Bürger bleiben passiv.
N;H;H;N;N;Partizipativer Rechtsstaat ohne Demokratie;Bürger können sich einbringen, Rechte geschützt, aber Wahlen fehlen oder nicht kompetitiv.
N;H;H;N;H;Liberale Partizipationsdemokratie ohne Gleichheit;Diskurs, Beteiligung und Rechtsstaat, aber strukturelle Ungleichheiten bleiben.
N;H;H;H;N;Vollständiger Autoritarismus mit sozialen Rechten;Fast alles außer fairen Wahlen vorhanden. Sehr instabiles Gleichgewicht.
N;H;H;H;H;Vollständige Nicht-Wahldemokratie;Theoretischer Grenzfall: alle Qualitäten ohne das Kernmerkmal Wahlen.
;;;;;;
EDI MITTEL – Übergangszone  (EDI 0.4 – 0.6);;;;;;
EDI;Liberal;Participatory;Egalitarian;Deliberative;Regimetyp;Interpretation
M;N;N;N;N;Fragmentierter Wahlstaat;Wahlen existieren ansatzweise, sind aber stark eingeschränkt. Alle anderen Qualitäten fehlen – instabiles Übergangsregime.
M;N;N;N;H;Deliberativer Übergangsstaat;Öffentlicher Diskurs bei schwachen Wahlen. Deliberation ohne institutionelle Verankerung.
M;N;N;H;N;Egalitärer Übergangsstaat;Formale Gleichheit bei schwachen Wahlen. Gleichheitsversprechen ohne demokratische Substanz.
M;N;N;H;H;Egalitärer Diskursstaat im Übergang;Schwache Wahlen mit Gleichheit und Deliberation. Substanz ohne demokratische Form.
M;N;H;N;N;Mobilisierter Übergangsstaat;Schwache Wahlen mit aktiver Zivilgesellschaft. Partizipation übersteigt die institutionelle Reife.
